location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Mahalaxmi Nagar,2219,3,2,flat,premium,1858,0.64,0.61,0.72,0.5,2.06,1,88.24
Nipania,2699,2,3,flat,elite,2227,1.3,0.87,0.86,0.49,3.0,0,168.9
Sapna Sangeeta Road,2279,2,2,flat,elite,2919,1.41,0.62,0.66,0.72,3.33,1,116.33
Sukhliya,2531,2,2,independent,classic,2072,2.72,1.05,1.12,0.64,2.62,0,160.58
Palhar Nagar,1089,2,2,flat,affordable,1333,0.33,0.15,0.47,0.4,0.15,1,30.31
Sukhliya,1777,3,3,independent,classic,2073,1.62,0.73,2.12,0.64,1.84,0,97.12
Scheme 54,1857,3,3,flat,classic,2272,0.93,0.48,0.64,0.43,2.11,0,70.99
Sukhliya,1050,3,2,flat,classic,2100,0.38,0.26,0.35,0.31,1.1,0,45.06
Sudama Nagar,2883,3,3,independent,classic,2195,3.77,1.71,1.3,0.78,3.16,0,168.9
Bijalpur,1834,2,2,flat,classic,2019,0.93,0.5,0.65,0.48,1.85,0,67.75
Khajrana,1177,1,1,independent,affordable,1501,0.59,0.27,1.65,0.56,0.18,0,56.76
Old Palasia,801,2,2,flat,elite,2475,0.43,0.23,0.75,0.52,0.99,0,41.02
MR 10,754,2,3,flat,premium,1918,0.17,0.19,0.83,0.51,0.72,0,32.09
Scheme 103,2584,3,2,independent,classic,2857,4.81,1.45,1.49,0.96,3.69,0,142.09
Lasuriya Mori,1050,3,2,flat,classic,2229,0.49,0.18,0.78,0.27,1.17,0,38.11
MR 10,1569,2,2,flat,premium,2497,0.66,0.5,0.69,0.56,1.96,0,79.38
MR 11,1785,4,4,independent,classic,2300,1.92,1.01,1.76,0.61,2.05,1,112.61
Sneh Nagar,1400,4,3,independent,classic,2851,2.62,0.87,1.95,0.74,2.0,0,101.32
MR 11,1050,3,2,flat,classic,1926,0.21,0.27,0.53,0.25,1.01,1,31.42
Pipliyahana,1167,2,2,independent,classic,2253,1.04,0.43,1.8,1.13,1.31,0,72.54
Rajendra Nagar,2360,2,2,flat,premium,2009,1.41,0.38,0.47,0.35,2.37,0,112.07
Annapurna Road,1640,3,2,independent,classic,2153,2.16,0.92,1.38,1.16,1.77,1,87.52
Scheme 54,1050,3,2,flat,classic,1734,0.39,0.25,0.32,0.32,0.91,1,29.72
Sanwer Road,1956,2,2,independent,affordable,2202,1.96,1.23,0.9,0.81,0.43,0,89.13
South Tukoganj,4134,4,3,independent,elite,3350,7.28,3.45,3.63,1.93,6.92,0,481.03
Lasuriya Mori,1427,4,3,flat,classic,1624,0.48,0.31,0.54,0.21,1.16,1,45.5
Sneh Nagar,1915,3,2,flat,classic,2141,0.85,0.27,0.51,0.22,2.05,0,65.25
Pipliyahana,2932,3,2,independent,classic,2856,4.93,2.3,1.42,1.01,4.19,0,176.85
Palhar Nagar,1196,1,1,flat,affordable,1736,0.47,0.1,0.35,0.22,0.21,1,28.42
Annapurna Road,709,2,2,flat,classic,1593,0.2,0.13,0.41,0.22,0.56,1,23.78
Navlakha,2291,3,2,flat,premium,2487,1.31,0.39,0.34,0.4,2.85,1,84.96
MR 11,1050,3,2,flat,classic,1726,0.42,0.21,0.29,0.29,0.91,0,34.88
Mahalaxmi Nagar,1905,2,2,flat,premium,2491,0.8,0.66,0.96,0.48,2.37,0,78.81
Manglia,1599,1,1,independent,affordable,2258,1.46,0.9,0.83,0.55,0.36,0,72.16
Bhawarkuan,1255,2,2,flat,classic,2156,0.37,0.26,0.26,0.34,1.35,1,44.68
Navlakha,1192,2,2,flat,premium,2081,0.4,0.29,0.45,0.4,1.24,1,45.05
Scheme 103,1412,2,2,flat,classic,1597,0.51,0.16,0.58,0.31,1.13,1,52.15
Kanadia Road,1286,3,2,flat,classic,1624,0.22,0.25,0.3,0.23,1.04,0,48.73
Palasia Square,1558,1,1,flat,classic,1782,0.46,0.28,0.54,0.32,1.39,0,57.4
MG Road,1400,4,4,flat,premium,2526,0.47,0.52,0.62,0.58,1.77,0,80.21
Rau,1412,2,2,flat,classic,1606,0.6,0.3,0.57,0.43,1.13,1,48.44
Limbodi,828,2,2,flat,affordable,1250,0.17,0.14,0.59,0.16,0.1,0,21.61
Manglia,640,1,1,flat,affordable,1274,0.11,0.11,0.49,0.35,0.08,0,20.67
Nipania,3191,1,1,flat,elite,2461,2.35,1.15,0.85,0.74,3.93,1,158.01
New Palasia,1436,2,2,flat,elite,2846,0.93,0.34,0.46,0.5,2.04,0,72.18
Agrawal Nagar,1795,3,2,flat,classic,2174,0.73,0.23,0.54,0.37,1.95,0,70.35
Nihalpur Mundi,1159,2,2,independent,classic,2065,1.38,0.51,2.39,0.88,1.2,1,63.93
Tilak Nagar,2785,3,2,independent,classic,2194,2.99,1.13,1.37,1.1,3.05,0,150.0
Rau,1808,2,2,flat,classic,2030,0.48,0.52,0.38,0.29,1.83,0,58.9
Dewas Naka,1541,3,2,independent,classic,2135,2.1,0.91,2.1,0.97,1.65,0,90.82
Limbodi,957,2,2,independent,affordable,2007,1.04,0.51,1.15,0.56,0.19,0,44.33
AB Road,1050,3,3,flat,premium,1916,0.33,0.3,0.48,0.41,1.01,1,36.41
Scheme 94,1280,3,2,flat,premium,2051,0.7,0.24,0.81,0.43,1.31,0,69.3
Ring Road,1016,2,3,flat,classic,1935,0.25,0.1,0.4,0.38,0.98,0,36.58
AB Bypass Road,3721,4,4,independent,premium,3330,8.13,3.32,1.95,1.24,6.2,1,246.25
AB Bypass Road,1986,3,2,flat,premium,2212,0.96,0.57,0.76,0.46,2.2,0,87.49
Old Palasia,4899,4,3,independent,elite,3778,10.11,4.69,2.81,1.54,9.25,0,550.87
Scheme 136,1421,3,2,flat,premium,2558,0.7,0.2,0.81,0.37,1.82,0,61.45
MR 11,1713,3,2,flat,classic,1848,0.71,0.44,0.36,0.23,1.58,0,62.49
Sanwer Road,1022,2,2,flat,affordable,1803,0.49,0.16,0.36,0.24,0.18,1,22.65
Mahalaxmi Nagar,1688,4,3,independent,premium,3105,2.08,1.15,2.6,1.51,2.62,0,121.36
Sneh Nagar,1601,4,4,independent,classic,2124,2.29,0.73,1.06,0.68,1.7,1,77.58
New Palasia,1652,2,2,flat,elite,2758,0.61,0.51,0.69,0.75,2.28,1,83.54
Chandan Nagar,738,2,2,flat,affordable,1799,0.18,0.09,0.36,0.21,0.13,0,24.82
Navlakha,2203,3,3,independent,premium,2800,3.65,1.42,3.12,1.14,3.08,1,150.37
Khajrana,1230,3,2,flat,affordable,1365,0.38,0.17,0.49,0.2,0.17,1,31.6
MR 10,3982,3,2,independent,premium,3196,5.83,2.85,3.24,1.13,6.36,0,256.3
Bijalpur,1351,3,2,flat,classic,1603,0.61,0.24,0.27,0.49,1.08,0,62.74
Musakhedi,1501,3,2,flat,affordable,1696,0.52,0.15,0.2,0.16,0.25,1,33.72
New Palasia,2875,2,3,flat,elite,2279,0.97,0.85,0.43,0.59,3.28,0,155.89
Rangwasa,1942,2,3,independent,affordable,1845,2.17,0.56,0.93,0.85,0.36,1,65.35
Mahalaxmi Nagar,1625,1,1,flat,premium,2056,0.91,0.46,0.55,0.28,1.67,0,85.43
MG Road,2209,2,2,flat,premium,2080,0.75,0.59,0.78,0.35,2.3,0,101.91
Musakhedi,700,2,2,flat,affordable,1792,0.38,0.12,0.6,0.33,0.13,0,21.56
Piplya Kumar,1069,2,2,independent,classic,2568,1.85,0.82,2.14,0.94,1.37,0,63.29
AB Road,1400,4,3,independent,premium,2498,1.42,0.78,3.16,1.2,1.75,0,117.57
Vijay Nagar,2341,3,2,flat,premium,2074,1.15,0.26,0.78,0.36,2.43,1,117.26
Khajrana,1900,1,2,independent,affordable,1912,2.08,0.8,1.35,0.7,0.36,0,86.65
Jetpura,1050,3,2,flat,affordable,1815,0.47,0.19,0.5,0.32,0.19,0,32.72
Sanwer Road,741,1,1,flat,affordable,1695,0.16,0.14,0.2,0.33,0.13,0,22.78
Scheme 54,1050,3,2,flat,classic,2170,0.56,0.29,0.37,0.39,1.14,1,39.46
Super Corridor,3421,2,2,flat,elite,3027,3.02,0.87,0.58,0.51,5.18,1,188.01
Navlakha,1804,3,3,flat,premium,2424,0.73,0.38,0.92,0.39,2.19,0,86.69
Piplya Kumar,2183,3,2,independent,classic,2643,2.83,1.19,1.55,0.72,2.88,0,130.26
AB Road,3167,4,3,independent,premium,2917,6.19,2.15,2.58,1.12,4.62,0,244.34
Janki Nagar,1334,3,2,flat,premium,1853,0.72,0.19,0.57,0.28,1.24,1,65.85
Scheme 78,1528,2,2,flat,affordable,1217,0.42,0.24,0.56,0.27,0.19,0,42.2
Silicon City,1050,3,2,flat,affordable,1385,0.18,0.15,0.4,0.24,0.15,0,34.69
Bijalpur,2098,4,3,independent,classic,2313,2.65,0.81,1.58,1.04,2.43,0,160.46
South Tukoganj,2184,3,2,flat,elite,2828,1.77,0.73,0.65,0.49,3.09,0,166.23
Khandwa Road,1146,2,2,flat,classic,1721,0.28,0.26,0.76,0.22,0.99,0,37.65
Rau,1679,2,3,flat,classic,1798,0.71,0.37,0.76,0.22,1.51,1,54.01
Palasia Square,2975,3,3,independent,classic,2883,4.86,1.43,1.39,0.91,4.29,0,216.01
Old Palasia,2597,1,1,flat,elite,2508,1.57,0.46,0.94,0.78,3.26,1,115.72
Rajendra Nagar,1701,3,2,flat,premium,1818,0.71,0.28,0.49,0.32,1.55,0,77.59
New Palasia,1756,4,3,independent,elite,3600,4.34,1.67,4.37,1.7,3.16,1,153.26
Scheme 103,736,2,2,flat,classic,2169,0.45,0.11,0.68,0.42,0.8,1,19.48
Scheme 78,700,2,2,flat,affordable,1695,0.35,0.16,0.41,0.35,0.12,0,18.35
Sukhliya,1050,3,3,flat,classic,2172,0.64,0.33,0.73,0.42,1.14,1,34.05
Khandwa Road,1400,4,3,flat,classic,1970,0.44,0.39,0.47,0.26,1.38,0,48.18
AB Bypass Road,1527,4,4,independent,premium,3391,2.48,1.27,1.58,1.39,2.59,1,98.39
Scheme 94,1696,3,2,independent,premium,3192,3.74,1.45,2.99,1.49,2.71,1,128.1
MR 10,3577,5,4,independent,premium,2439,5.68,1.72,1.58,1.17,4.36,0,241.72
Bicholi Hapsi,2401,1,1,independent,classic,2516,3.71,1.39,1.9,0.61,3.02,0,155.8
Scheme 140,2525,4,3,independent,elite,3445,3.58,1.59,2.58,1.56,4.35,1,208.91
Bengali Square,3961,5,5,independent,premium,3094,5.61,2.52,2.3,0.94,6.13,0,372.9
AB Bypass Road,2448,3,2,flat,premium,2444,0.87,0.45,0.32,0.35,2.99,0,128.39
Palhar Nagar,1262,3,2,independent,affordable,1821,0.88,0.64,1.05,0.42,0.23,1,49.33
Chandan Nagar,1522,3,2,independent,affordable,2386,2.02,0.82,1.56,0.7,0.36,0,68.67
Nihalpur Mundi,2631,3,2,independent,classic,2268,3.28,1.31,1.91,1.03,2.98,1,112.43
Vijay Nagar,2227,3,3,independent,premium,2627,3.03,1.49,2.43,1.59,2.93,0,192.17
AB Bypass Road,1400,4,3,independent,premium,2442,1.84,0.95,2.14,1.39,1.71,0,100.85
Piplya Kumar,1595,3,2,independent,classic,1975,1.51,0.52,1.9,0.77,1.58,1,83.11
Sapna Sangeeta Road,4691,3,2,independent,elite,3545,9.93,2.92,2.33,1.89,8.31,0,482.89
Mahalaxmi Nagar,2190,2,2,flat,premium,2107,0.87,0.3,0.37,0.44,2.31,1,77.49
Rau,1314,3,2,flat,classic,2014,0.28,0.4,0.3,0.4,1.32,1,48.15
Bhawarkuan,2504,3,2,independent,classic,2506,3.11,1.4,1.12,0.71,3.14,0,152.34
MR 10,2892,3,2,independent,premium,3292,4.9,2.2,2.74,1.11,4.76,0,250.86
Nipania,1362,2,2,flat,elite,2461,0.35,0.48,0.8,0.57,1.68,0,94.13
Jetpura,886,2,2,independent,affordable,2113,1.03,0.33,1.27,0.54,0.19,0,41.15
Banganga,1364,1,2,independent,affordable,1931,0.83,0.52,1.58,0.87,0.26,1,38.49
Piplya Kumar,1517,3,2,flat,classic,2018,0.83,0.24,0.5,0.27,1.53,0,52.13
Rangwasa,709,1,1,flat,affordable,1595,0.13,0.1,0.26,0.28,0.11,0,18.64
Nihalpur Mundi,2767,3,2,independent,classic,2121,3.41,1.65,1.15,0.74,2.94,1,129.52
Palasia Square,1863,4,3,flat,classic,2163,1.11,0.49,0.63,0.22,2.02,1,74.77
Chandan Nagar,809,2,2,independent,affordable,2380,0.7,0.44,1.22,0.82,0.19,0,33.27
Dewas Naka,1259,2,2,independent,classic,2379,2.02,0.56,1.41,1.15,1.5,1,68.33
Sudama Nagar,2697,2,2,independent,classic,2438,4.39,1.52,2.06,0.81,3.29,0,154.27
Sapna Sangeeta Road,4128,4,3,independent,elite,3449,8.24,3.64,2.26,1.5,7.12,0,397.95
Pipliyahana,1400,4,4,independent,classic,2735,2.16,0.61,2.44,0.69,1.91,0,88.79
Sneh Nagar,2999,3,2,independent,classic,2803,4.17,2.12,1.22,0.75,4.2,0,163.69
Scheme 103,1460,3,2,flat,classic,1958,0.83,0.24,0.6,0.49,1.43,0,48.57
Palhar Nagar,2165,2,2,independent,affordable,1726,1.51,0.97,1.31,0.77,0.37,1,86.31
Ring Road,700,2,2,flat,classic,2086,0.19,0.2,0.59,0.38,0.73,0,28.35
Geeta Bhawan,1409,3,3,flat,classic,2250,0.5,0.3,0.61,0.45,1.59,1,51.76
Tilak Nagar,630,1,2,flat,classic,2242,0.19,0.2,0.47,0.28,0.71,1,17.95
Bijalpur,1940,1,1,flat,classic,1699,0.46,0.22,0.77,0.38,1.65,0,73.93
Kanadia Road,1278,2,2,flat,classic,1774,0.63,0.28,0.78,0.38,1.13,1,33.77
Sanwer Road,1586,1,1,independent,affordable,1651,1.27,0.46,0.88,0.72,0.26,0,52.15
Vijay Nagar,1400,4,4,independent,premium,2905,1.88,1.0,2.67,0.9,2.03,0,97.81
Sapna Sangeeta Road,4435,5,5,independent,elite,2880,7.14,2.06,2.81,1.8,6.39,0,530.06
Scheme 54,1987,2,3,independent,classic,2233,2.64,0.83,2.35,0.94,2.22,0,113.12
Bhawrasla,2542,3,2,independent,classic,2698,4.22,1.4,2.48,0.96,3.43,0,174.63
AB Bypass Road,1615,3,3,flat,premium,2260,0.87,0.52,0.8,0.38,1.82,0,78.37
South Tukoganj,2060,4,3,flat,elite,2348,0.65,0.67,0.85,0.73,2.42,0,139.56
Dewas Naka,1188,2,3,flat,classic,1831,0.46,0.23,0.57,0.24,1.09,0,44.44
Tejaji Nagar,711,2,2,independent,affordable,1602,0.58,0.33,1.7,0.52,0.11,0,26.32
AB Road,3479,4,4,independent,premium,3369,5.71,2.77,2.28,1.33,5.86,0,273.64
Rangwasa,865,2,2,independent,affordable,2061,0.93,0.39,0.91,0.52,0.18,0,27.8
Scheme 54,1225,2,3,flat,classic,2101,0.29,0.35,0.69,0.43,1.29,1,40.64
Scheme 54,2235,4,3,independent,classic,2274,3.52,0.79,1.99,0.76,2.54,1,142.97
Annapurna Road,1050,3,3,flat,classic,2236,0.45,0.29,0.29,0.39,1.17,0,36.63
Pipliyahana,1712,3,2,flat,classic,1728,0.45,0.41,0.34,0.22,1.48,1,60.09
Lasuriya Mori,1949,1,1,flat,classic,2095,1.11,0.29,0.47,0.49,2.04,1,65.61
AB Road,769,2,3,flat,premium,2498,0.3,0.11,0.96,0.38,0.96,0,34.94
Scheme 140,1489,3,2,flat,elite,2310,0.98,0.39,0.44,0.62,1.72,0,96.09
Limbodi,2369,2,2,independent,affordable,2002,1.46,1.24,0.89,0.74,0.47,0,95.8
Rau Pithampur Road,1882,2,3,independent,affordable,2040,1.56,0.72,1.59,0.48,0.38,1,64.14
Nipania,2825,3,2,independent,elite,3868,5.27,2.66,2.55,1.19,5.46,0,302.1
Sneh Nagar,700,2,2,flat,classic,1662,0.16,0.14,0.73,0.27,0.58,1,26.36
Bicholi Hapsi,1372,3,3,flat,classic,2107,0.71,0.25,0.68,0.34,1.45,0,57.5
Scheme 78,794,2,3,flat,affordable,1278,0.14,0.12,0.23,0.34,0.1,1,22.97
Gandhi Nagar,1470,1,2,independent,affordable,1749,0.85,0.75,1.68,0.44,0.26,0,66.17
Jetpura,1225,2,2,independent,affordable,1608,0.61,0.53,0.91,0.58,0.2,0,67.21
Khajrana,1189,1,1,flat,affordable,1251,0.29,0.12,0.23,0.32,0.15,0,34.44
AB Bypass Road,1400,4,3,independent,premium,2428,2.15,0.58,3.25,1.38,1.7,1,105.29
Geeta Bhawan,1050,3,2,independent,classic,2287,1.56,0.48,1.3,0.8,1.2,0,75.46
Rangwasa,700,2,2,flat,affordable,1750,0.29,0.07,0.22,0.18,0.12,0,20.63
Sneh Nagar,1050,3,3,flat,classic,1587,0.17,0.17,0.68,0.29,0.83,0,47.8
MR 11,1739,3,2,independent,classic,2186,1.28,0.85,2.06,1.05,1.9,1,74.95
MG Road,1954,4,3,flat,premium,1904,0.88,0.51,0.97,0.47,1.86,1,80.3
MG Road,1750,5,4,independent,premium,3089,2.36,0.99,3.09,0.97,2.7,0,178.49
Palhar Nagar,700,2,2,flat,affordable,1316,0.18,0.11,0.29,0.32,0.09,0,23.56
Chandan Nagar,1453,2,2,independent,affordable,2249,1.43,0.84,1.29,0.67,0.33,0,62.96
Rau Pithampur Road,1050,3,2,flat,affordable,1717,0.4,0.27,0.24,0.35,0.18,0,28.39
MG Road,2302,2,2,flat,premium,2546,1.59,0.39,0.61,0.41,2.93,0,126.41
Sanwer Road,1886,3,3,independent,affordable,1825,2.34,0.72,1.07,0.54,0.34,0,78.57
Nipania,2015,3,3,flat,elite,2437,0.81,0.61,0.92,0.72,2.46,0,134.04
Rangwasa,1693,3,2,independent,affordable,2291,2.63,1.08,1.14,0.72,0.39,0,70.77
AB Bypass Road,1050,3,2,flat,premium,1953,0.21,0.19,0.36,0.28,1.03,1,43.52
Silicon City,1145,2,3,flat,affordable,1832,0.21,0.17,0.25,0.26,0.21,0,37.77
Tilak Nagar,1283,3,2,flat,classic,1674,0.6,0.17,0.58,0.28,1.07,1,41.45
Scheme 94,2024,2,3,flat,premium,2283,1.08,0.51,0.35,0.27,2.31,1,70.78
AB Road,2868,5,5,independent,premium,3259,3.76,1.94,3.22,1.33,4.67,0,195.75
MR 11,618,1,1,flat,classic,2054,0.33,0.16,0.75,0.46,0.63,0,21.44
MR 10,2409,3,2,flat,premium,2234,0.79,0.58,0.88,0.26,2.69,0,121.88
Navlakha,2775,5,4,independent,premium,2547,3.68,1.21,2.64,1.55,3.53,1,180.35
Manglia,1050,3,2,flat,affordable,1601,0.27,0.22,0.32,0.28,0.17,1,27.17
Scheme 136,812,2,3,flat,premium,1844,0.36,0.21,0.75,0.58,0.75,1,29.31
Sapna Sangeeta Road,1759,3,2,independent,elite,3686,3.3,1.04,2.8,1.92,3.24,0,180.08
Bengali Square,1533,2,2,flat,premium,2526,0.57,0.55,0.52,0.59,1.94,1,72.27
Piplya Kumar,1923,2,2,independent,classic,2507,2.64,1.34,1.26,0.82,2.41,0,119.6
Scheme 54,1379,3,2,flat,classic,1620,0.58,0.24,0.71,0.2,1.12,0,56.48
Geeta Bhawan,1985,2,2,flat,classic,2050,1.05,0.39,0.73,0.46,2.03,0,75.4
Saket Nagar,1113,2,2,flat,affordable,1795,0.46,0.21,0.39,0.34,0.2,0,40.95
Tilak Nagar,1475,3,2,flat,classic,2221,0.34,0.21,0.59,0.22,1.64,0,59.61
Tilak Nagar,1050,3,2,flat,classic,1596,0.48,0.13,0.54,0.22,0.84,0,42.46
Piplya Kumar,709,2,3,flat,classic,1878,0.24,0.12,0.48,0.27,0.67,0,33.01
Khajrana,1716,3,3,independent,affordable,1538,1.64,0.68,1.01,0.46,0.26,0,97.25
Banganga,910,1,1,flat,affordable,1298,0.21,0.13,0.44,0.35,0.12,1,28.02
Janki Nagar,2969,3,3,independent,premium,2466,4.26,1.69,2.46,1.03,3.66,0,216.7
Rau Pithampur Road,854,2,2,flat,affordable,1892,0.38,0.09,0.44,0.19,0.16,1,22.01
Bicholi Mardana,809,2,2,flat,premium,2549,0.25,0.28,0.64,0.48,1.03,0,31.47
Sudama Nagar,1400,4,3,flat,classic,2276,0.44,0.45,0.26,0.36,1.59,0,55.68
Ring Road,1182,3,2,independent,classic,1927,0.8,0.54,2.37,1.14,1.14,1,58.43
Scheme 71,996,2,2,independent,classic,2607,1.56,0.61,2.13,1.12,1.3,0,72.88
AB Bypass Road,1403,3,3,flat,premium,2267,0.75,0.47,0.36,0.48,1.59,1,64.45
Palhar Nagar,1438,3,2,flat,affordable,1661,0.41,0.22,0.22,0.38,0.24,1,43.91
Rajendra Nagar,1723,2,2,flat,premium,2261,0.52,0.24,0.32,0.25,1.95,0,77.49
Sudama Nagar,847,1,2,independent,classic,2393,1.07,0.35,2.34,0.74,1.01,1,49.74
New Palasia,3174,3,3,flat,elite,3071,2.47,1.26,0.93,0.43,4.87,0,224.01
Lasuriya Mori,1704,2,3,flat,classic,2289,0.61,0.32,0.75,0.27,1.95,0,69.03
Limbodi,890,2,3,flat,affordable,1449,0.15,0.11,0.54,0.3,0.13,0,21.94
Bengali Square,2876,3,2,independent,premium,2415,3.06,1.19,3.33,0.88,3.47,0,230.86
Banganga,1042,2,2,independent,affordable,2336,0.94,0.71,1.51,0.41,0.24,1,46.97
Manglia,2495,1,2,independent,affordable,1649,2.86,1.07,1.2,0.53,0.41,1,87.17
Bhawarkuan,1874,2,2,flat,classic,2180,0.42,0.22,0.58,0.32,2.04,0,72.99
Scheme 136,984,2,2,flat,premium,2208,0.32,0.18,0.9,0.43,1.09,0,52.14
Dewas Naka,909,2,2,flat,classic,1991,0.19,0.18,0.69,0.36,0.9,1,25.76
Bicholi Hapsi,1537,2,2,independent,classic,2706,1.41,0.84,1.37,1.19,2.08,1,68.74
Piplya Kumar,2441,2,2,independent,classic,2627,3.01,1.85,1.25,0.76,3.21,1,150.31
Geeta Bhawan,1262,3,2,flat,classic,2202,0.57,0.24,0.73,0.29,1.39,1,48.27
Bengali Square,1259,2,2,flat,premium,1904,0.6,0.14,0.89,0.58,1.2,0,64.18
Super Corridor,2628,2,3,flat,elite,2446,1.7,0.84,0.96,0.44,3.21,0,144.57
Ring Road,1081,2,2,flat,classic,2042,0.51,0.12,0.7,0.37,1.1,0,46.94
Nipania,3100,3,2,flat,elite,2559,1.26,1.04,1.05,0.73,3.97,0,204.32
Bhawrasla,875,2,3,independent,classic,2639,0.94,0.35,1.72,1.12,1.15,0,64.9
Sanwer Road,702,2,2,flat,affordable,1487,0.22,0.07,0.25,0.28,0.1,1,16.82
Scheme 78,1142,2,2,independent,affordable,1888,1.26,0.45,1.77,0.74,0.22,0,56.58
Sneh Nagar,957,2,3,flat,classic,1575,0.37,0.08,0.35,0.4,0.75,1,37.95
Scheme 136,2707,4,3,independent,premium,2887,2.78,1.96,2.61,1.04,3.91,1,159.59
Vijay Nagar,1565,3,2,flat,premium,2316,0.48,0.38,0.36,0.38,1.81,0,83.4
Scheme 94,2663,2,3,independent,premium,2503,2.61,1.0,1.97,0.89,3.33,0,229.41
Bhawrasla,1681,3,3,flat,classic,2117,0.92,0.21,0.28,0.44,1.78,1,63.25
Scheme 94,2896,3,2,independent,premium,2922,4.69,1.57,2.57,1.32,4.23,0,191.28
Annapurna Road,1007,2,2,flat,classic,1565,0.23,0.23,0.53,0.32,0.79,0,40.34
Vijay Nagar,2019,3,3,flat,premium,2541,0.68,0.75,0.44,0.51,2.56,0,102.44
Musakhedi,1241,2,2,flat,affordable,1616,0.33,0.15,0.58,0.23,0.2,0,34.12
