location,area,bhk,bath,property_type,zone,construction_cost_psqft,architect_fee_lakhs,engineer_fee_lakhs,approval_fee_lakhs,utility_cost_lakhs,gst_lakhs,is_resale,price
Malleshwaram,1078,3,3,flat,premium,2592,0.67,0.41,0.8,0.42,1.4,0,107.26
Bagalur,1074,2,2,independent,affordable,1930,0.65,0.47,1.36,0.85,0.21,0,61.79
Hoskote,1313,2,2,independent,affordable,2334,1.61,0.91,1.32,0.83,0.31,0,65.48
JP Nagar,1808,3,2,independent,premium,2586,2.52,1.1,1.9,1.36,2.34,0,278.51
Koramangala,3091,3,3,flat,ultra_premium,2856,1.46,1.1,1.38,0.91,4.41,0,564.59
JP Nagar,1845,4,3,flat,premium,2202,0.54,0.26,0.68,0.4,2.03,1,124.89
MG Road,1400,4,4,independent,ultra_premium,3394,3.23,1.42,4.64,2.48,2.38,0,397.15
Kengeri,2572,1,1,independent,mid,2262,2.78,1.74,2.32,1.04,2.91,0,172.09
KR Puram,1050,3,2,flat,mid,2000,0.63,0.15,1.01,0.44,1.05,0,61.48
Frazer Town,4993,4,3,independent,ultra_premium,4683,12.2,6.67,5.28,1.21,11.69,1,670.82
Chandapura,1050,3,2,independent,affordable,1701,0.7,0.53,0.81,0.53,0.18,0,63.64
Koramangala,1915,3,3,flat,ultra_premium,2919,1.55,0.7,1.74,0.6,2.8,0,312.15
Yelahanka,1752,1,1,independent,mid,2510,2.73,0.72,3.18,0.85,2.2,1,120.27
Attibele,1091,2,2,independent,affordable,2159,1.57,0.36,1.1,0.58,0.24,1,45.64
Marathahalli,3562,4,4,independent,premium,3569,4.17,2.85,3.08,1.18,6.36,0,346.73
HSR Layout,1400,4,3,flat,premium,2852,0.69,0.53,0.95,0.66,2.0,1,134.78
Jayanagar,4361,4,3,independent,ultra_premium,4710,13.99,5.8,3.31,1.45,10.27,0,827.64
Indiranagar,2019,4,3,flat,ultra_premium,3203,1.87,0.39,1.63,0.72,3.23,0,281.85
Hoskote,1481,3,2,independent,affordable,1661,0.89,0.42,1.39,0.54,0.25,0,68.64
Hoodi,2851,3,2,independent,mid,3153,5.84,2.06,2.46,0.82,4.49,0,360.65
MG Road,2478,2,2,flat,ultra_premium,2985,2.21,1.09,1.39,0.48,3.7,0,378.04
Rajajinagar,1350,3,3,flat,ultra_premium,3823,1.36,0.61,0.73,0.57,2.58,1,188.69
Chandapura,1831,2,2,independent,affordable,2334,2.88,0.77,1.86,0.62,0.43,0,81.64
Jigani,686,1,1,independent,affordable,1710,0.74,0.34,1.1,0.85,0.12,0,33.18
Indiranagar,3015,2,2,flat,ultra_premium,3005,1.85,1.12,0.6,0.68,4.53,1,368.74
Jayanagar,1596,2,2,flat,ultra_premium,3076,1.15,0.73,0.87,0.63,2.45,0,230.39
Banashankari,1186,3,2,flat,mid,2097,0.64,0.3,1.13,0.56,1.24,0,94.89
Hennur,2713,2,2,flat,premium,2034,1.21,0.72,1.25,0.34,2.76,0,170.59
Varthur,1463,1,1,flat,mid,2109,0.4,0.21,0.63,0.32,1.54,0,93.75
BTM Layout,1903,3,2,independent,premium,3382,2.59,1.51,2.01,1.62,3.22,0,305.56
Horamavu,2114,4,3,flat,mid,1789,0.69,0.47,0.48,0.53,1.89,0,106.25
Basavanagudi,3775,3,2,independent,ultra_premium,3919,4.89,3.71,4.96,1.52,7.4,0,746.36
BTM Layout,2652,2,2,flat,premium,2302,1.18,0.85,0.65,0.71,3.05,1,195.66
BTM Layout,1263,3,3,flat,premium,3190,0.63,0.48,1.1,0.54,2.01,0,125.48
Electronic City,1936,4,3,flat,mid,2278,1.1,0.29,0.53,0.27,2.21,1,104.8
Attibele,1035,2,2,flat,affordable,1928,0.4,0.19,0.6,0.36,0.2,0,33.4
Whitefield,2318,3,2,flat,premium,2123,1.22,0.64,0.77,0.54,2.46,0,291.32
Chandapura,1050,3,2,flat,affordable,1732,0.28,0.21,0.57,0.33,0.18,0,33.68
Jayanagar,1059,3,2,flat,ultra_premium,2539,0.59,0.31,1.43,0.47,1.34,0,167.8
Hoskote,1460,3,2,independent,affordable,2150,1.81,0.49,1.21,0.95,0.31,0,95.81
Yelahanka,1426,3,3,independent,mid,2010,1.21,0.69,3.0,1.25,1.43,1,159.81
Yelahanka,996,2,2,flat,mid,2453,0.61,0.26,0.6,0.38,1.22,1,48.5
Yelahanka,1050,3,2,flat,mid,2386,0.51,0.35,1.14,0.39,1.25,1,64.96
Hoskote,740,1,2,flat,affordable,1620,0.35,0.06,0.47,0.35,0.12,1,22.96
Marathahalli,2609,4,3,flat,premium,2591,1.19,0.46,0.86,0.47,3.38,0,211.58
Hebbal,1365,3,2,flat,premium,3067,0.98,0.31,1.07,0.77,2.09,0,145.79
Jayanagar,2149,5,4,flat,ultra_premium,3513,1.35,0.95,1.15,0.65,3.78,0,268.69
Jigani,2040,2,2,independent,affordable,2353,2.84,0.95,1.43,0.52,0.48,1,103.86
HSR Layout,1208,3,2,independent,premium,3821,2.12,0.88,2.74,1.54,2.31,0,208.76
Hebbal,3474,2,2,independent,premium,3827,8.33,3.23,4.35,1.48,6.65,1,402.97
Thanisandra,1645,4,3,independent,premium,3996,2.4,1.04,2.69,1.32,3.29,1,199.22
Indiranagar,2567,4,3,independent,ultra_premium,3667,5.01,1.54,5.38,2.03,4.71,0,634.02
Yelahanka,1746,2,2,flat,mid,2341,0.72,0.21,0.95,0.39,2.04,0,139.08
Electronic City,1940,2,2,independent,mid,3136,3.69,1.58,1.6,1.08,3.04,0,142.23
Koramangala,4018,5,4,independent,ultra_premium,3164,8.25,3.66,2.68,1.56,6.36,0,1125.02
Jayanagar,1354,3,2,independent,ultra_premium,4824,2.21,1.82,3.48,1.27,3.27,0,243.49
Hennur,2311,2,2,independent,premium,2633,2.97,1.03,2.02,1.07,3.04,1,224.73
Koramangala,1782,4,3,flat,ultra_premium,3490,0.97,0.9,1.49,0.73,3.11,0,327.83
Rajarajeshwari Nagar,2475,3,2,independent,mid,2289,3.9,1.28,1.85,0.83,2.83,1,213.8
Bellandur,1406,1,1,flat,premium,2916,0.89,0.22,0.99,0.66,2.05,0,106.57
Devanahalli,1758,2,3,flat,affordable,1367,0.54,0.17,0.36,0.47,0.24,0,85.66
Basavanagudi,3421,5,4,flat,ultra_premium,2818,1.19,1.29,1.2,0.41,4.82,0,465.04
Banashankari,1429,2,2,independent,mid,3043,1.35,0.95,1.36,1.38,2.17,0,119.45
Ulsoor,1829,4,4,flat,ultra_premium,3423,1.14,0.9,0.66,0.53,3.13,0,262.8
Mysore Road,1372,3,3,independent,mid,2933,1.74,0.99,2.75,0.97,2.01,1,98.76
Hebbal,1750,5,4,independent,premium,3886,3.78,1.86,1.96,1.72,3.4,1,244.93
Tumkur Road,811,2,2,independent,mid,2904,1.63,0.39,3.48,0.68,1.18,0,81.41
Jigani,719,1,2,independent,affordable,1702,0.64,0.33,1.61,0.63,0.12,0,48.16
Sarjapur Road,1099,3,3,flat,premium,2815,0.85,0.29,0.91,0.68,1.55,0,88.44
Jayanagar,4694,4,3,independent,ultra_premium,3624,10.56,4.75,2.91,2.44,8.51,1,727.22
Devanahalli,2245,3,3,independent,affordable,1936,1.82,1.21,1.39,0.56,0.43,0,171.28
Malleshwaram,2139,4,3,independent,premium,3781,4.87,1.84,3.34,1.02,4.04,0,353.92
Malleshwaram,3212,5,5,independent,premium,2697,4.91,2.45,2.95,1.27,4.33,0,583.38
Rajarajeshwari Nagar,826,2,2,flat,mid,2177,0.35,0.21,1.02,0.59,0.9,0,49.96
Vidyaranyapura,1050,3,2,flat,mid,1968,0.3,0.23,0.74,0.34,1.03,0,77.43
HSR Layout,1703,4,3,independent,premium,3268,2.57,0.97,3.69,1.73,2.78,0,332.89
Whitefield,1050,3,2,flat,premium,2817,0.41,0.23,1.3,0.53,1.48,0,128.69
Hennur,2057,4,3,independent,premium,3476,2.56,2.08,4.47,1.29,3.58,0,301.65
Electronic City,1665,2,2,independent,mid,2486,2.22,1.17,2.12,1.26,2.07,0,167.61
Jigani,700,2,3,flat,affordable,1776,0.14,0.15,0.58,0.27,0.12,0,22.46
Bagalur,1050,3,2,flat,affordable,1802,0.49,0.24,0.64,0.21,0.19,0,48.15
Ramamurthy Nagar,1661,2,2,flat,affordable,1654,0.7,0.28,0.69,0.23,0.27,1,56.89
Chandapura,715,1,1,flat,affordable,1979,0.37,0.17,0.4,0.45,0.14,0,27.09
Bagalur,767,2,3,flat,affordable,1844,0.2,0.2,0.42,0.47,0.14,0,45.22
KR Puram,2856,3,3,independent,mid,2755,4.0,2.33,2.8,1.36,3.93,1,246.32
Banashankari,1050,3,2,flat,mid,1810,0.34,0.2,0.82,0.52,0.95,0,74.45
Marathahalli,1272,3,2,independent,premium,3286,1.48,0.64,2.21,1.46,2.09,1,113.74
KR Puram,1050,3,3,flat,mid,1873,0.32,0.29,0.51,0.52,0.98,0,75.35
Hoodi,3073,3,2,independent,mid,2591,3.15,1.31,3.04,1.03,3.98,1,230.46
HSR Layout,2554,3,2,flat,premium,3029,1.25,0.9,1.07,0.54,3.87,0,234.71
Horamavu,2528,3,3,independent,mid,2912,4.23,1.68,2.91,1.04,3.68,0,235.35
Rajarajeshwari Nagar,1400,4,3,independent,mid,3158,1.51,0.97,2.16,1.08,2.21,0,128.52
MG Road,3283,3,2,flat,ultra_premium,3934,2.1,1.79,1.32,0.9,6.46,0,362.03
MG Road,1521,4,3,flat,ultra_premium,3165,1.07,0.54,1.31,0.82,2.41,1,223.44
Ramamurthy Nagar,1312,1,1,flat,affordable,1449,0.3,0.1,0.77,0.35,0.19,1,60.27
Koramangala,3434,3,2,flat,ultra_premium,2559,1.61,1.29,1.26,0.65,4.39,0,690.76
Electronic City,2558,3,2,independent,mid,2754,4.7,1.39,1.7,0.69,3.52,1,148.46
Rajajinagar,1889,4,3,independent,ultra_premium,4245,5.58,1.58,3.52,1.3,4.01,0,508.96
Yelahanka,2649,2,2,independent,mid,2981,2.65,1.53,3.47,1.25,3.95,0,249.41
Whitefield,1985,2,2,independent,premium,2943,3.47,1.64,2.32,0.99,2.92,0,256.0
Varthur,1050,3,2,flat,mid,2465,0.72,0.16,0.65,0.34,1.29,0,74.72
BTM Layout,2291,3,3,independent,premium,2544,4.02,1.07,3.08,0.96,2.91,0,290.54
Marathahalli,1050,3,2,flat,premium,2250,0.45,0.13,0.8,0.56,1.18,0,82.05
Kengeri,1050,3,2,flat,mid,2156,0.61,0.12,0.45,0.41,1.13,0,44.14
Kengeri,1933,2,3,independent,mid,2547,2.58,1.25,1.75,1.27,2.46,0,142.91
JP Nagar,1463,4,3,independent,premium,3939,1.74,0.91,2.2,1.21,2.88,0,256.49
Bellandur,2910,4,3,independent,premium,3950,4.18,3.08,4.46,0.92,5.75,0,358.31
Rajajinagar,2124,3,3,flat,ultra_premium,2544,0.93,0.28,0.69,0.95,2.7,0,414.58
Mysore Road,1924,1,2,flat,mid,1922,0.88,0.36,0.66,0.34,1.85,0,109.34
Varthur,1536,4,3,independent,mid,2222,2.14,0.83,1.43,1.32,1.71,0,182.79
Banashankari,1529,4,4,flat,mid,2104,0.37,0.34,0.84,0.56,1.61,0,91.31
Ramamurthy Nagar,2287,1,1,independent,affordable,1729,2.41,0.73,0.9,0.69,0.4,0,144.28
Rajarajeshwari Nagar,1291,3,2,flat,mid,2453,0.67,0.28,0.61,0.58,1.58,0,77.44
Tumkur Road,1602,3,2,flat,mid,1711,0.42,0.4,1.06,0.52,1.37,0,100.51
Sarjapur Road,2443,4,3,independent,premium,2635,3.38,1.08,2.17,1.17,3.22,1,230.39
Attibele,1266,1,1,independent,affordable,2301,1.78,0.65,0.94,0.96,0.29,0,57.25
Koramangala,2669,3,2,independent,ultra_premium,4693,4.4,2.63,4.89,1.39,6.26,1,488.87
BTM Layout,2200,2,3,flat,premium,2053,0.98,0.47,0.58,0.77,2.26,1,160.2
Ulsoor,3133,4,3,flat,ultra_premium,2913,2.68,0.75,1.8,1.0,4.56,1,327.02
JP Nagar,2522,4,3,independent,premium,3801,6.13,2.17,3.71,1.07,4.79,0,336.13
Hebbal,894,2,2,flat,premium,2748,0.48,0.22,1.49,0.71,1.23,0,96.69
KR Puram,2738,1,1,independent,mid,3144,3.66,1.69,2.31,1.01,4.3,1,223.85
Nelamangala,1005,2,2,flat,affordable,1766,0.4,0.2,0.41,0.27,0.18,0,31.9
MG Road,4768,5,4,independent,ultra_premium,4799,13.36,6.65,4.31,1.82,11.44,1,818.65
Whitefield,2691,4,4,independent,premium,3247,4.28,2.49,1.89,1.19,4.37,0,347.95
Electronic City,1505,2,2,flat,mid,2332,0.51,0.23,0.52,0.41,1.75,1,82.11
Chandapura,2453,2,2,independent,affordable,2064,1.79,0.85,0.87,0.92,0.51,0,135.49
Whitefield,1400,4,4,independent,premium,3348,3.02,0.79,3.92,1.51,2.34,1,206.08
TC Palaya,564,1,2,flat,affordable,1695,0.18,0.09,0.59,0.36,0.1,1,16.02
Nelamangala,1659,3,2,flat,affordable,1820,0.48,0.42,0.51,0.25,0.3,0,50.04
Banashankari,2198,2,2,flat,mid,2148,0.76,0.54,0.9,0.46,2.36,1,161.09
Horamavu,2223,2,3,independent,mid,2430,3.78,1.12,1.77,1.1,2.7,0,180.92
BTM Layout,2560,3,2,independent,premium,3715,5.08,1.98,2.1,1.71,4.75,1,289.14
Kengeri,2153,2,3,flat,mid,1796,1.1,0.28,0.82,0.37,1.93,1,102.66
Horamavu,1050,3,2,flat,mid,2194,0.23,0.21,1.13,0.56,1.15,1,63.37
Hoskote,1301,2,2,flat,affordable,1808,0.28,0.3,0.36,0.47,0.24,1,38.14
Indiranagar,3209,4,3,independent,ultra_premium,3348,3.65,2.68,4.79,1.54,5.37,1,557.85
Jayanagar,2419,5,4,flat,ultra_premium,3388,1.09,0.43,1.04,0.73,4.1,0,368.58
Horamavu,1562,2,2,flat,mid,2422,0.91,0.45,0.98,0.48,1.89,0,88.12
Ramamurthy Nagar,890,2,2,independent,affordable,1943,0.59,0.46,1.24,0.51,0.17,0,53.55
Rajajinagar,4708,5,4,independent,ultra_premium,3220,10.16,3.71,2.66,2.04,7.58,0,1359.46
Varthur,2008,3,3,flat,mid,2131,0.99,0.23,0.84,0.46,2.14,1,110.47
Frazer Town,3283,5,4,flat,ultra_premium,2741,2.16,1.13,0.73,0.7,4.5,0,381.61
Koramangala,2385,4,4,flat,ultra_premium,3831,2.34,1.04,0.7,0.5,4.57,0,483.61
Attibele,1231,1,2,flat,affordable,1711,0.47,0.26,0.74,0.33,0.21,1,23.22
Banashankari,3068,2,2,independent,mid,2580,5.4,2.18,3.37,1.25,3.96,0,294.36
Hebbal,1050,3,2,flat,premium,2858,0.68,0.35,0.91,0.32,1.5,0,127.31
Sarjapur Road,2066,3,3,flat,premium,3093,1.83,0.64,0.51,0.35,3.2,0,139.34
Tumkur Road,3189,2,2,independent,mid,2829,5.03,2.33,2.58,0.73,4.51,1,182.82
Tumkur Road,700,2,2,flat,mid,1714,0.31,0.1,0.51,0.44,0.6,1,30.11
Ramamurthy Nagar,949,1,1,independent,affordable,1845,0.8,0.27,2.16,0.74,0.18,0,59.7
Rajajinagar,2879,3,2,flat,ultra_premium,3323,1.08,1.21,1.3,0.87,4.78,0,546.2
Rajajinagar,4246,5,4,independent,ultra_premium,4299,11.35,4.7,4.28,1.27,9.13,0,1376.82
Varthur,2135,3,2,flat,mid,1683,0.62,0.28,0.81,0.59,1.8,1,108.6
TC Palaya,1377,1,1,independent,affordable,1737,0.89,0.53,1.28,0.69,0.24,0,77.82
Bannerghatta Road,1618,4,3,independent,premium,3702,2.93,1.48,3.15,1.47,2.99,1,156.55
Rajajinagar,3635,3,3,independent,ultra_premium,3804,5.0,3.26,3.33,2.4,6.91,0,883.12
Whitefield,1056,3,2,flat,premium,2357,0.55,0.32,1.25,0.46,1.24,0,145.25
JP Nagar,2153,2,2,flat,premium,2993,1.46,0.68,0.63,0.44,3.22,0,150.09
Bagalur,1447,3,2,independent,affordable,2445,1.86,1.06,1.6,0.81,0.35,0,94.41
HSR Layout,2430,4,3,independent,premium,3267,4.71,1.68,2.76,1.27,3.97,0,506.31
Rajarajeshwari Nagar,700,2,2,flat,mid,1720,0.17,0.14,1.08,0.39,0.6,0,40.47
Indiranagar,2820,4,3,flat,ultra_premium,2507,2.05,0.81,1.64,0.67,3.54,0,636.82
Devanahalli,1207,2,2,flat,affordable,1637,0.4,0.26,0.54,0.47,0.2,0,54.01
Banashankari,2138,3,3,independent,mid,2933,3.23,1.05,2.7,0.65,3.14,1,218.1
Mysore Road,1712,4,3,independent,mid,2442,2.76,1.1,1.72,1.11,2.09,0,168.45
Rajajinagar,2861,2,2,flat,ultra_premium,3086,1.22,0.8,1.72,0.66,4.41,0,325.86
Hoodi,804,2,2,flat,mid,2129,0.23,0.09,0.96,0.44,0.86,0,67.44
Chandapura,1862,3,2,independent,affordable,2429,2.85,1.33,1.3,0.82,0.45,1,72.87
Attibele,971,2,2,flat,affordable,1542,0.28,0.12,0.72,0.47,0.15,0,30.93
Whitefield,1050,3,2,flat,premium,2548,0.75,0.27,1.34,0.7,1.34,0,112.71
Sarjapur Road,3971,3,2,independent,premium,2842,4.82,3.32,2.74,1.21,5.64,0,559.97
Kengeri,2330,4,3,independent,mid,2174,1.89,0.81,3.24,1.34,2.53,0,177.28
Bannerghatta Road,1489,4,3,independent,premium,3289,1.74,1.16,2.05,1.08,2.45,1,186.95
Rajajinagar,1573,3,2,flat,ultra_premium,2522,0.56,0.48,1.06,0.8,1.98,1,229.9
Horamavu,880,2,2,flat,mid,1804,0.23,0.24,1.07,0.26,0.79,0,42.01
Ramamurthy Nagar,1548,2,2,independent,affordable,2080,1.79,0.75,1.58,0.86,0.32,0,93.68
Horamavu,1059,2,3,independent,mid,2727,1.99,0.86,2.41,1.28,1.44,1,84.31
Hoodi,2920,3,2,independent,mid,2020,1.96,1.11,2.47,1.21,2.95,0,310.74
Marathahalli,1113,2,2,flat,premium,3110,0.73,0.26,0.71,0.37,1.73,0,69.15
Devanahalli,1106,2,3,flat,affordable,1707,0.46,0.11,0.74,0.28,0.19,0,42.49
Ramamurthy Nagar,2360,2,2,independent,affordable,2353,3.82,0.9,1.15,0.82,0.56,0,133.51
Hoodi,2108,2,2,independent,mid,2536,3.23,1.37,1.96,0.68,2.67,1,167.45
Basavanagudi,2406,3,3,flat,ultra_premium,3616,2.47,0.8,1.01,0.98,4.35,0,266.33
Hebbal,3157,4,3,independent,premium,2815,6.16,2.27,3.14,1.29,4.44,0,559.85
Ramamurthy Nagar,873,1,1,independent,affordable,2000,0.94,0.43,1.71,0.59,0.17,0,60.18
Koramangala,3093,3,2,independent,ultra_premium,4097,6.51,2.58,5.18,1.37,6.34,1,460.49
Ulsoor,1050,3,3,flat,ultra_premium,3213,0.55,0.43,1.2,0.59,1.69,0,153.83
Jigani,622,1,1,flat,affordable,1543,0.19,0.14,0.68,0.46,0.1,0,20.51
Electronic City,2717,2,3,independent,mid,2406,2.53,1.83,3.27,0.87,3.27,0,275.38
HSR Layout,2078,2,2,flat,premium,2072,0.71,0.28,1.21,0.57,2.15,1,147.18
Marathahalli,1105,3,2,flat,premium,2595,0.75,0.24,0.89,0.68,1.43,1,80.09
BTM Layout,2941,4,4,independent,premium,3543,4.19,2.7,4.49,1.62,5.21,1,314.19
HSR Layout,2188,4,3,flat,premium,3003,1.69,0.87,1.22,0.72,3.28,1,181.16
Malleshwaram,3287,3,2,independent,premium,3444,5.68,2.61,1.86,1.13,5.66,1,503.45
HSR Layout,1446,3,3,independent,premium,3954,2.78,1.35,3.0,1.5,2.86,0,262.5
Hebbal,2756,2,2,flat,premium,2674,1.79,0.91,1.17,0.74,3.68,0,257.53
TC Palaya,2373,3,3,independent,affordable,1779,2.93,1.12,1.02,0.91,0.42,0,157.3
MG Road,1736,4,3,flat,ultra_premium,2709,0.97,0.43,1.02,0.94,2.35,1,289.24
Bannerghatta Road,1067,3,2,flat,premium,2781,0.7,0.2,0.99,0.48,1.48,0,111.41
Kengeri,1515,3,3,independent,mid,2319,2.45,0.65,1.75,1.15,1.76,0,109.4
Bagalur,2329,1,1,independent,affordable,2398,1.92,1.36,1.55,0.88,0.56,1,148.16
Sarjapur Road,1272,3,2,flat,premium,2710,0.94,0.34,0.5,0.42,1.72,1,80.44
Bagalur,1446,2,2,flat,affordable,1552,0.28,0.17,0.78,0.41,0.22,1,43.76
Frazer Town,3242,3,2,flat,ultra_premium,3280,1.14,0.62,1.41,0.81,5.32,1,249.32
Sarjapur Road,3233,4,3,independent,premium,2828,4.86,1.46,2.97,1.02,4.57,1,276.05
Malleshwaram,2596,4,3,flat,premium,2459,1.21,0.33,1.27,0.32,3.19,0,290.57
Indiranagar,1940,5,5,flat,ultra_premium,2636,0.81,0.31,1.38,0.86,2.56,0,400.8
Devanahalli,1554,1,1,flat,affordable,1718,0.59,0.14,0.36,0.27,0.27,0,63.99
Sarjapur Road,1421,3,2,flat,premium,2240,0.36,0.47,1.05,0.7,1.59,1,123.35
Ramamurthy Nagar,1531,2,2,flat,affordable,1813,0.54,0.21,0.67,0.48,0.28,1,68.08
Hoskote,1447,1,2,independent,affordable,1723,1.42,0.73,1.78,0.89,0.25,0,76.23
Ramamurthy Nagar,1212,2,2,flat,affordable,1603,0.26,0.25,0.73,0.26,0.19,0,65.82
JP Nagar,3325,3,2,independent,premium,2973,5.87,1.97,2.14,1.33,4.94,0,479.01
Ramamurthy Nagar,1248,3,2,flat,affordable,1799,0.37,0.27,0.58,0.27,0.22,0,58.16
TC Palaya,700,2,3,flat,affordable,1419,0.18,0.09,0.47,0.23,0.1,0,22.37
Indiranagar,4550,5,4,independent,ultra_premium,3191,4.49,3.58,4.32,1.91,7.26,1,856.4
Chandapura,1475,3,2,flat,affordable,1362,0.34,0.23,0.76,0.32,0.2,0,56.45
JP Nagar,2232,3,2,independent,premium,2622,3.37,1.08,1.9,0.95,2.93,0,343.02
Rajajinagar,4775,4,4,independent,ultra_premium,3030,7.71,2.4,5.12,1.88,7.23,0,986.9
Whitefield,1400,4,3,independent,premium,3755,3.32,1.54,3.69,1.09,2.63,1,182.23
BTM Layout,813,1,2,flat,premium,2468,0.53,0.18,0.53,0.33,1.0,0,69.26
Hoskote,1060,2,2,flat,affordable,1442,0.33,0.13,0.38,0.41,0.15,0,35.71
HSR Layout,1195,1,1,flat,premium,2161,0.6,0.13,1.42,0.36,1.29,1,119.64
Electronic City,2836,2,2,independent,mid,3118,5.05,2.42,1.82,1.04,4.42,0,223.4
MG Road,2577,3,2,independent,ultra_premium,3758,4.21,1.48,2.87,1.74,4.84,0,427.74
Banashankari,1052,3,3,flat,mid,2298,0.56,0.27,0.93,0.33,1.21,0,67.13
Attibele,483,1,1,flat,affordable,1738,0.22,0.12,0.54,0.48,0.08,1,10.19
